assumption,category,risk,certainty
经常加班的知识工作者把"晚餐吃什么/怎么搞定"视为高频且高痛感的问题（每周≥3次）,desirability,0.9,0.3
用户愿意把晚餐决策权交给一个自动系统（而不是自己每次挑）,desirability,0.85,0.25
现有替代方案（外卖App收藏夹、固定点同一家、让家人/助理帮忙）不能很好解决问题,desirability,0.7,0.4
用户愿意为"自动晚餐规划/代下单"付费或接受平台抽佣/会员模式,viability,0.9,0.2
可通过与外卖/生鲜/团购平台合作实现正向单位经济（单笔毛利覆盖补贴与运营）,viability,0.8,0.35
能在合规前提下获取必要数据：口味偏好、忌口、位置、预计下班时间、预算,feasibility,0.6,0.5
能与至少一家主流外卖/生鲜平台打通自动下单与改单/取消流程,feasibility,0.75,0.3
用户能在5分钟内完成偏好设置并理解自动推荐逻辑,usability,0.5,0.4
自动推荐的首周命中率足够高（≥60%的晚餐被用户接受且不重选），不会被频繁推翻,usability,0.8,0.25
加班时间不确定时，系统能灵活调整下单时间而不造成餐凉/浪费/迟到,feasibility,0.7,0.3
