维度,amazon-competitor-analyzer,Jungle Scout,Helium 10
产品形态,开源Python CLI脚本,SaaS(Web+浏览器扩展),SaaS(Web+Xray扩展)
核心定位,轻量ASIN抓取与基础对比脚本,一站式选品运营平台(新手到成长卖家),全功能卖家套件(进阶卖家与品牌)
入门价格,代码免费+BrowserAct API用量,$49/月(年付$29/月),Platinum $99/月(年付);有免费版
顶配价格,取决于BrowserAct用量,$149/月(年付$129/月);Cobalt定制,Diamond $279/月(年付);Enterprise $1499/月起
免费层,代码本身免费,无(7天退款保证),有(功能受限)
目标用户,开发者/数据团队,新手至中型卖家SMB,进阶卖家/品牌/代理
用户规模,未公开,自称60万+卖家,自称450万+品牌/86万+扩展用户
按ASIN抓取商品详情,是,是(扩展内),是(Xray)
价格评分评论对比,是(基础排序),是,是
商品数据库选品,否,是(5亿+商品),是(Black Box)
关键词研究,否,是(Keyword Scout),是(Cerebro/Magnet)
反查ASIN关键词,否,是,是(Cerebro)
销量估算,否,是(AccuSales),是
市场份额竞品情报,否(声称未实现),是(仅顶配CI),是(Market Tracker 360附加$650/月起)
评论AI分析,否,是,是
Listing优化,否,是(AI),是(AI)
PPC广告管理,否,是,是(AI+自动化)
库存管理,否,是,是
利润分析,否,是,是
多平台支持,否(仅亚马逊页面),否(仅亚马逊),是(Walmart/TikTok Shop)
API可编程,是(本身即脚本),是(试用100请求),MCP连接AI工具
数据导出,CSV/MD/JSON,平台内导出,平台内导出
自托管私有化,是,否,否
学习曲线,中(需命令行),低,高
