区块,字段ID,字段名称,数值/公式,单位,币种,统计周期,来源/状态,说明
元数据,META_01,模型版本,v1.0,,CNY,单次试运行,本文件,ads-math SKILL.md 六步流程生成
元数据,META_02,生成日期,2026-08-12,,CNY,—,本文件,基于当前日期；试运行周期见 PLAN
元数据,META_03,业务/产品,待确认,,CNY,—,待业务方填入,本轮无历史上下文，未承接既有策略；须先确认推广对象
元数据,META_04,投放平台,待确认（如巨量引擎/腾讯广告/百度等）,,CNY,—,待业务方填入,不同平台归因窗口与口径不同，不可混用
元数据,META_05,归因口径,待确认（如点击后7天/浏览后1天）,,CNY,—,待业务方填入,SKILL.md 第5条：平台归因收入与混合业务收入必须分开
元数据,META_06,税额处理,待确认（价内税/价外税/是否含税）,,CNY,—,待财务确认,影响净收入口径，未确认前不得计算盈亏平衡
元数据,META_07,退款处理,待确认（是否扣减退货/退款）,,CNY,—,待财务确认,影响净收入与真实ROAS
输入参数,IN_01,广告花费_SPEND,待填入,元,CNY,与META_05一致,待平台后台导出,分母校验：须>0，否则CPA/ROAS无意义（除零保护）
输入参数,IN_02,展示量_IMP,待填入,次,—,同上,待平台后台导出,用于CPM与展示份额
输入参数,IN_03,点击量_CLK,待填入,次,—,同上,待平台后台导出,用于CTR/CPC/CVR
输入参数,IN_04,转化量_CONV,待填入,单,—,同上,待平台后台导出,转化事件须与META_05归因口径一致
输入参数,IN_05,线索量_LEAD,待填入,条,—,同上,待平台后台导出,若以线索为目标则使用；否则留空
输入参数,IN_06,平台归因收入_REV_PLAT,待填入,元,CNY,同上,待平台后台导出,SKILL.md 第5条：平台口径，不等于财务到账收入
输入参数,IN_07,混合业务总收入_REV_BLEND,待填入,元,CNY,同上,待财务/BI导出,SKILL.md 第5条：全渠道业务收入，用于MER
输入参数,IN_08,客单价_AOV,待填入,元/单,CNY,同上,待财务确认,每单平均收入
输入参数,IN_09,毛利率_GM,待填入（小数，如0.45）,比率,—,同上,待财务确认,（收入−COGS）/收入；未确认不得计算盈亏平衡
输入参数,IN_10,单均可变履约成本_VC,待填入,元/单,CNY,同上,待财务确认,如支付手续费/物流/包装等非COGS现金支出
输入参数,IN_11,退款率_REFUND,待填入（小数）,比率,—,同上,待财务确认,用于净收入折算
输入参数,IN_12,综合税费率_TAX,待填入（小数）,比率,—,同上,待财务确认,仅当META_06明确后填入；否则留空
输入参数,IN_13,客户生命周期价值_LTV,待填入,元/客户,CNY,LTV窗口待确认,待财务/BI确认,LTV窗口须与CAC回收期对齐，窗口不兼容不得直接比
输入参数,IN_14,当前展示份额_IS,待填入（小数，如0.12）,比率,—,最近7/30天,待平台后台/行业报告,用于展示份额机会；外部行业值须标来源待核验
输入参数,IN_15,试运行预算上限_BUDGET_CAP,待填入,元,CNY,四周,待决策人审批,硬性止损线；单实验花费触顶即停
输入参数,IN_16,目标获客成本_TARGET_CPA,待填入,元/转化,CNY,—,待决策人设定,决策阈值，应≤盈亏平衡CPA并留安全边际
输入参数,IN_17,目标ROAS_TARGET_ROAS,待填入,倍,—,—,待决策人设定,决策阈值，应≥盈亏平衡ROAS
公式,FM_01,CTR,=IN_03/IN_02,比率,—,—,本文件,点击/展示；校验IN_02>0
公式,FM_02,CPC,=IN_01/IN_03,元/点击,CNY,—,本文件,花费/点击；校验IN_03>0
公式,FM_03,CPM,=IN_01/IN_02*1000,元/千次展示,CNY,—,本文件,花费/展示×1000；校验IN_02>0
公式,FM_04,CVR,=IN_04/IN_03,比率,—,—,本文件,转化/点击；校验IN_03>0
公式,FM_05,CPA,=IN_01/IN_04,元/转化,CNY,—,本文件,花费/转化；校验IN_04>0（除零保护：为0时输出N/A不输出0）
公式,FM_06,CPL,=IN_01/IN_05,元/线索,CNY,—,本文件,花费/线索；仅当IN_05>0
公式,FM_07,ROAS_平台口径,=IN_06/IN_01,倍,—,—,本文件,平台归因收入/花费；SKILL.md第5条：不得当作利润
